Geneid	C07	C10	C11	C12	C17	C18	C35	C36	C37	C39	C42	C44	C49	D01	D04	D05	D15	D16	D19	D20	D25	D31	D38	D41	D51	D57	E02	E03	E06
PTPRF	1484.338348	1298.876598	1556.443128	1311.53195	1332.560374	1575.790725	1073.319469	1437.985839	1246.17642	1232.745625	1666.211395	1386.147174	1399.971195	1546.944353	1475.216731	1681.421664	1665.815548	1521.101957	1471.073608	1949.739337	1720.816729	1588.94135	1240.202533	1750.895442	1380.082231	1414.418856	1188.953594	1319.384443	1319.94971
SKINT1L	187.8549012	262.2145245	158.4126899	342.696978	214.504783	185.4603618	275.5820258	168.5190883	354.4090387	242.8336377	156.1148332	220.1246376	196.6329472	175.084992	255.4177836	140.3254417	179.8023131	201.476234	160.4129294	156.4392625	151.459834	172.8412239	194.7662176	224.4918191	159.3345383	203.6031843	195.1630089	219.711526	194.3530272
AGBL4	2516.828733	3329.51466	2835.279552	4621.965005	2723.806018	2210.587937	3818.986705	2015.016181	4183.087232	2976.370762	1925.16965	2762.723712	2464.835536	2282.589526	2579.242198	1553.514403	2093.110457	2948.007233	1684.957514	1744.98795	2168.205778	2416.354536	2990.234283	3335.005425	1937.344565	2374.262439	2791.344614	2926.512915	2303.721211
ELAVL4	458.2521074	592.5235185	414.4875721	675.5179623	411.8087108	444.3580481	594.6770031	348.84107	638.9968454	424.6271261	378.0790511	491.2926694	497.1213244	428.7060504	438.0295634	345.225423	363.8352689	507.6154466	344.4525693	377.2946918	429.9129134	358.5171921	452.5450351	492.615277	366.0608879	405.5443017	499.4632268	488.4956772	370.6965075
SHISAL2A	463.9446802	429.9098599	393.7247438	495.7748788	410.7968958	438.134546	426.4269241	380.3154523	440.1389059	406.0496893	361.8016751	393.9911992	443.1165008	414.295763	404.6104141	343.9836049	353.2586623	384.6364467	364.3487466	373.8438257	405.4463249	339.6929004	326.5198354	360.3128883	424.892102	437.1235711	469.931982	339.047228	444.9858886
SSBP3	3885.892483	3327.481989	3729.619155	3342.036235	3526.175325	3909.604003	2847.197456	3877.250464	3158.747891	3211.242641	3939.124986	3491.687186	3747.10391	4187.629521	3580.623134	4059.503265	3680.659116	3660.587679	3927.007992	4282.52481	4146.504225	4028.398426	3884.822253	3635.500744	3926.983543	3717.212421	3370.413805	3278.943586	3765.496103
MYSM1	359.3436557	450.2365672	402.9526675	350.5977728	366.2770352	362.2078207	451.0842633	318.6781203	393.2968135	406.0496893	329.9868039	408.3471538	456.9638915	301.8955212	340.1591977	314.1799713	326.8171456	343.6434467	351.9136358	295.6241945	326.2211809	335.4146523	438.2239897	394.0922216	327.6571787	363.1615981	401.8817223	413.7714526	349.6853694
PDE4B	2386.611131	3118.116903	2238.540487	3075.384407	2460.734115	2425.921108	3337.443376	2298.285621	3141.955443	2841.020865	2339.502856	2638.305439	2531.303011	2220.62529	2709.338171	2270.043429	2340.603053	2450.858084	2259.459633	1991.14973	2182.186685	2349.613865	2963.501664	2275.178843	2440.678286	2310.272866	2864.530743	2640.99946	2371.257012
TCTEX1D1	198.5284751	286.6065733	228.3911112	211.3462631	225.6347482	231.5142771	223.3664841	228.8449877	220.069453	201.6978849	253.0392084	260.0022893	214.6345551	197.4209375	192.1601082	264.5072485	218.9357578	180.5436382	186.5266621	179.4450364	174.7613469	207.9228585	192.8567449	154.8219442	207.5434498	184.4894159	269.6331044	231.9796823	209.360983
LINC02238	77.5613039	120.9439086	103.8141414	170.8546893	71.83886601	58.50091949	139.2414446	53.76873635	151.132034	79.61758614	65.84938463	82.94551561	67.85221419	49.71549156	105.0316119	21.11090716	62.40197927	105.5351702	39.79235458	28.75721736	61.74900925	41.92683154	74.46943615	105.5604165	61.28251471	78.94817349	78.321997	99.26053714	66.78540317
LRRIQ3	181.4507568	437.0242075	262.2268313	496.7624781	263.0719037	209.1096697	384.3644044	161.3062091	417.1597663	294.5850687	250.0796855	267.9778197	249.2530317	190.9363082	227.9663395	176.3381657	144.8995112	252.9355318	162.8999515	136.8843547	194.5676329	183.964669	252.0503993	311.7550967	201.0066483	246.8169213	267.0651701	278.8217335	182.3466626
ERICH3	84.67701985	151.4339696	101.5071605	173.8174874	100.1696864	102.065434	136.3405812	93.76743047	178.530239	128.7150976	89.52556787	119.6329552	121.8570377	69.88989393	102.6445298	94.37817319	63.45963993	102.0464042	74.61066483	64.4161669	86.21559782	64.17372174	100.2473179	125.2650276	78.44161883	118.8377769	105.2853074	127.1427105	86.29574567
ADGRL4	221.2987662	320.1456403	302.2145006	371.3373594	387.5251505	285.036395	385.8148361	159.9947765	365.8986085	305.2007469	185.7100623	208.9588951	193.8634691	176.5260208	210.0632239	156.4690766	197.7825445	259.9130637	206.4228394	149.5375303	173.5962713	231.8810479	346.569299	260.3823607	203.4579488	268.4237899	227.262188	239.7866908	275.3959884
LINC01140	352.9395113	381.1257623	312.9804116	370.34976	420.9150459	379.6336265	478.6424659	317.3666877	354.4090387	428.6080054	309.2701436	360.4939717	330.9526366	298.2929494	386.7072985	337.7745146	302.4909503	354.981936	353.1571469	308.2773701	358.843299	308.889514	315.0629991	306.1252078	314.5835755	362.3305647	371.0665104	340.1625149	378.9508832
PKN2-AS1	579.2192787	672.8140124	626.7298168	743.6623182	667.7979094	514.0612713	735.3688794	570.4731784	713.2371427	729.8278729	606.7021955	665.159231	612.0546668	559.8396658	628.9961306	551.3672223	501.3311555	616.6393827	543.4143422	533.7339543	611.6647142	546.7601093	560.4302439	647.4372212	555.6281334	633.2474547	702.3300386	710.4377771	620.5789711
GLMN	207.0673343	266.2798659	233.7740666	258.7510324	183.1385176	158.0769527	284.2846161	167.2076557	266.9115454	274.6806722	232.322548	245.6463347	221.5582504	205.3465956	212.450306	197.4490729	191.4365805	216.3034893	187.7701732	150.687819	220.1992971	210.4898073	222.4535721	232.9366524	213.2631512	179.5032155	250.373597	283.2828813	198.8554139
PLPPR5	156.545751	265.2635306	220.7011748	365.4117632	204.3866329	177.9921593	335.0497261	135.7332735	357.944291	207.005724	162.033879	164.2959252	162.0144706	164.9977908	188.5794851	136.5999875	147.0148325	195.3708935	129.3251524	116.1791582	164.2756661	185.6759682	251.0956629	256.159944	174.0423418	182.8273491	258.0773999	257.6312818	168.0891046
LOC100129620	204.2210479	297.7862623	240.6950094	393.0645453	262.0600887	187.9497626	330.698431	122.6189475	384.4586829	188.4282872	153.1553103	261.5973954	186.9397738	175.084992	219.6115522	95.61999126	177.6869918	248.5745744	130.5686634	123.0808903	198.0628599	155.7282314	208.1325267	293.4579578	138.9070333	207.7583513	238.8178925	288.8593159	183.0970604
LOC102606465	426.9429573	438.0405428	436.7883877	424.6677248	500.8484321	502.8589676	523.605849	421.625579	517.0306425	460.4550398	438.7492707	472.1513966	390.4964164	363.8597571	430.8683171	454.505413	396.6227496	447.4342339	405.3846122	366.9420936	436.9033673	391.8875275	404.808217	382.8324438	464.9300116	413.0236024	469.931982	557.6434671	369.9461097
LOC101928436	183.5854716	285.5902379	155.3367153	265.6642279	196.2921128	175.5027585	285.7350478	151.4704646	272.2144237	217.6214021	182.0106587	237.6708044	180.0160785	136.177216	184.9988619	168.8872573	156.5337785	182.2880212	129.3251524	116.1791582	158.4502879	138.615239	297.8777446	206.1946802	165.0542396	181.1652823	211.854582	266.5535773	177.8442759
LINC01677	101.7547381	198.1853964	146.8777853	244.9246413	130.5241368	100.8207336	149.3944666	66.227346	243.0485926	145.9655746	99.88389804	149.9399705	124.6265159	82.13863823	115.7734813	59.60726728	117.4003339	129.9565319	59.68853186	50.61270256	83.88544653	112.0901006	169.9430723	155.5256803	75.99031824	108.8653761	160.4958955	150.5637361	92.29892798
CELSR2	616.9325732	422.7955123	499.8458662	447.3825101	555.4864428	586.2538954	382.9139727	604.5704258	505.5410727	509.5525513	596.3438653	497.6730937	582.9751464	612.4372149	509.6420261	624.6344884	547.8682247	575.6463828	688.9051386	669.4680202	676.9089504	559.5948536	523.1955258	528.5058186	562.164935	614.9647198	549.5379461	473.996947	557.5455568
PGBP	39.84800934	24.39204879	29.99075197	22.71478528	28.3308204	39.83041327	44.96338316	25.57293558	41.53921401	39.80879307	27.37558687	33.49722746	27.6947813	25.93851734	34.6126903	18.62727102	29.61449863	24.42136169	31.08777701	20.7051965	30.2919668	27.38078794	35.32524536	19.70461108	20.4275049	24.93100216	29.53124477	46.84205123	33.76790048
SYCP1	238.3764845	416.6975001	298.3695324	528.3656577	266.1073487	209.1096697	374.2113824	215.0749454	454.279915	272.0267526	214.5654106	365.2792899	293.5646818	237.0492279	247.0629963	214.8345258	211.5321331	319.222085	202.6923061	151.8381077	236.5103562	225.0358509	247.2767175	408.1669438	214.0802514	250.141055	326.1276596	354.6612451	217.6153587
ANKRD20A12P	30.5975786	42.68608538	58.44351666	73.08235265	34.40171048	46.05391535	66.71985888	20.32720521	60.09928836	54.40535053	28.1154676	47.85318209	49.85060634	26.65903171	39.38685447	13.65999875	30.6721593	47.9705319	28.60075485	18.40461911	24.46658857	34.22598493	55.37470894	47.15031937	22.87880549	45.70683728	50.07471939	39.0350427	37.51988942
LOC101927429	115.2745985	171.7606769	157.6436963	221.2222567	90.05153627	82.15022737	152.2953301	79.99738823	242.1647796	169.8508504	96.92437514	170.6763494	131.5502112	107.3566412	133.676597	81.95999251	107.8813879	132.5731063	90.77630887	120.7803129	100.1965056	94.97710818	116.477836	142.1546942	109.4914263	107.2033093	152.7920925	157.2554577	111.0588727
CERS2	233.3954833	146.3522927	192.2484101	213.3214618	227.6583782	238.9824796	187.1056912	269.4993981	207.6960701	181.7934883	225.6636215	188.2225162	216.0192942	218.3158542	202.9019776	233.4617968	217.8780971	247.7023829	298.4426593	284.1213076	302.919668	266.9626825	195.720954	198.453583	268.8259645	264.2686228	195.1630089	208.5586567	240.1272923
RORC	371.4403728	230.7081281	292.2175833	258.7510324	275.2136839	303.7069012	226.2673475	291.1380359	259.8410409	273.3537124	246.3802818	309.4505775	300.4883771	333.5981535	340.1591977	250.8472498	342.6820556	282.5900424	332.0174585	351.9883405	407.7764762	313.1677621	335.1124627	406.7594715	307.2296738	256.7893222	281.1888089	304.473333	282.1495685
FLG-AS1	50.52158327	81.30682929	52.29156754	86.90874369	65.76797593	37.34101244	66.71985888	32.13009855	83.07842803	96.86806313	42.1732014	36.6874396	30.46425943	39.62829037	45.3545597	23.5945433	24.32619531	71.5197021	29.84426593	29.90750606	31.45704245	34.22598493	33.41577263	68.26240266	23.69590569	33.24133621	25.67934328	43.49619043	36.76949164
PGLYRP4	126.659744	104.6825427	99.96917324	138.2639104	136.5950269	114.5124382	185.6552595	113.4389194	132.5719596	107.4837413	82.12676061	114.847637	103.8554299	103.7540693	89.51557835	75.75090217	72.97858592	109.8961276	94.50684212	82.82078601	73.39976571	98.39970668	83.0620634	74.59602765	91.51522197	103.8791756	129.6806836	89.22295473	132.0700108
DAP3	608.3937141	653.5036405	634.4197532	606.3860071	575.7227431	555.136385	498.9485099	551.4574058	549.7317259	516.1873501	611.1414799	564.6675486	641.1341871	667.196307	631.3832126	664.3726665	639.8847026	648.0382763	613.0509627	610.8032968	667.5883453	668.2623558	696.9575435	686.8464433	721.4994732	650.6991562	650.9713521	575.488058	643.0909047
FCRL3	111.0051689	110.7805549	83.05131315	135.3011123	114.3350966	102.065434	114.5841055	106.8817564	139.6424641	139.3307757	123.5600813	132.3938038	119.0875596	79.97709512	97.87036566	117.9727165	81.43987124	123.8511914	73.36715375	100.0751164	71.06961442	88.98756082	71.60522707	77.41097209	125.8334302	115.5136433	125.8287821	128.2579974	111.0588727
FCRL2	149.430035	218.5121037	113.0420651	202.4578688	143.677732	140.6511469	166.7996472	148.1918831	204.1608178	204.3518044	179.0511357	204.1735769	180.0160785	132.5746442	158.7409589	132.8745333	151.2454752	179.6714467	164.1434626	119.6300242	121.1678672	140.3265382	117.4325724	107.6716248	160.9687386	147.0929127	143.8043224	173.9847617	165.0875135
CD5L	56.92572763	78.2578232	57.67452302	67.15675649	52.61438074	62.23502074	76.87288088	48.52300598	106.0575677	55.7323103	68.06902681	52.63850029	60.92851886	46.83343408	63.25767537	37.25454205	46.53706928	60.18121274	44.7663989	19.55490781	50.09825279	48.77202853	40.09892716	33.07559717	60.46541452	58.17233836	62.91439103	51.30319897	73.53898327
CADM3	154.4110362	162.6136586	112.2730715	171.8422887	165.9376623	129.4488431	237.8708012	125.2418127	197.9741264	163.2160516	146.4963838	186.6274101	119.0875596	134.0156729	147.9990895	156.4690766	154.4184572	144.7837872	135.5427078	138.0346433	135.148775	111.234451	112.6588906	85.85580541	123.3821296	129.6412112	174.6195343	178.4459095	138.0731931
LINC01681	142.3143191	215.4630976	154.5677217	269.6146253	164.9258473	160.5663535	232.0690744	144.2575853	255.4219755	191.0822067	113.2017511	215.3393194	155.0907753	140.5003022	176.6440746	139.0836236	163.9374032	196.243085	143.0037743	106.9768486	135.148775	139.4708886	145.1199269	172.4153469	122.5650294	159.5584138	150.2241582	199.6363612	151.5803533
PRRX1	130.9291736	195.1363903	174.5615563	267.6394266	149.7486221	128.2041427	268.3298672	135.0775572	249.2352841	224.2562009	116.9011547	188.2225162	173.0923831	105.9156125	198.1278134	105.5545358	119.5156552	191.0099361	125.5946191	101.2254051	142.1392288	159.1508299	155.6220268	173.8228192	107.0401257	159.5584138	170.7676328	231.9796823	157.5835356
MROH9	200.6631899	299.818933	217.6252002	377.2629556	193.2566677	191.6838639	291.5367747	151.4704646	344.687095	216.2944423	162.7737598	244.0512286	156.4755144	152.7490465	229.1598806	108.0381719	124.8039585	239.8526595	109.4289751	100.0751164	179.4216495	173.6968735	229.1367266	275.160819	125.01633	181.1652823	201.5828447	255.4007079	159.0843312
TNR	1361.948034	1693.21472	1485.695713	2150.003807	1593.608647	1325.605942	2019.000947	1197.337958	1990.34702	1602.967401	1151.994291	1445.166099	1592.449925	1435.264626	1495.506929	1062.996266	1294.576655	1360.618723	1195.014148	1282.571894	1334.011615	1197.053823	1515.166605	1762.155219	1245.260699	1440.180891	1572.859776	1623.857776	1397.99108
ASTN1	434.7702448	693.1407197	594.4320839	974.7605684	572.6872981	433.1557443	752.77406	372.4468567	912.9788952	421.9732065	409.8939223	553.5018061	531.739801	424.3829642	534.706388	347.7090591	429.4102302	584.3682976	364.3487466	342.786031	452.0493507	400.4440237	595.7554892	738.9229154	326.0229783	497.7890097	562.3776178	639.0594133	472.000209
LINC01645	29.17443541	41.66975001	39.21867565	53.33036545	27.31900538	28.62810954	58.01726859	22.2943541	66.28597981	19.90439653	19.97677961	25.52169711	30.46425943	23.77697422	23.87082089	14.90181682	22.21087398	35.75985105	17.40915513	14.95375303	20.97136163	18.82429171	29.59682719	33.07559717	10.62230255	27.42410237	48.79075223	22.30573868	24.01272923
TDRD5	238.3764845	315.0639635	210.7042574	338.7465805	261.0482737	145.6299485	277.0324575	163.273358	331.429899	250.7953963	147.9761452	216.9344255	220.1735113	144.8233885	248.2565373	156.4690766	153.3607965	211.0703403	179.0655956	155.2889738	145.6344558	205.3559096	229.1367266	241.3814857	142.1754341	224.3790194	255.5094656	234.2102562	216.8649609
CACNA1E	713.7063102	970.6002747	890.4946354	1415.229883	733.5658853	746.8202489	1099.42724	628.8319288	1134.815974	753.7131488	608.181957	824.6698379	855.7687422	636.2141891	738.8019067	479.3417744	657.864934	790.2054891	568.2845638	509.5778917	770.1150021	630.6137723	785.7480251	953.562429	578.5069389	763.7196994	901.3449491	733.8588027	718.1306836
RGSL1	370.0172296	402.468805	445.2473177	493.7996801	385.5015204	256.4082854	448.1833999	289.170887	470.1885501	469.7437582	287.0737218	435.463957	397.4201117	291.80832	362.8364776	276.9254292	291.9143437	430.8625956	290.9815928	307.1270814	320.3958027	296.0547696	360.8903444	392.6847494	299.0586718	383.1063998	466.0800805	441.6536259	359.4405407
GS1-279B7.1	138.7564611	134.1562683	93.81722411	103.6979328	97.13424137	130.6935435	134.8901495	114.0946357	103.4061285	116.7724597	105.0630631	102.0867884	109.3943861	90.06429631	127.7088918	86.92726478	88.8434959	109.8961276	96.99386428	79.36991993	97.86635428	100.9666555	89.74521793	76.00349987	90.69812177	90.58264116	130.9646507	110.4134065	121.5644417
LINC01350	384.2486615	472.5959453	339.895189	456.2709044	415.8559709	339.8032132	562.7675053	389.4954804	425.1140838	348.9904192	435.049867	401.9667295	382.187982	317.7468374	384.3202164	406.0745083	349.0280196	353.2375531	374.2968352	348.5374745	330.8814835	313.1677621	362.7998172	306.8289439	403.6474969	359.006431	435.2648686	426.0396089	356.4389495
HMCN1	1661.519675	1994.049988	1564.133064	2043.343076	1631.045803	1501.1087	1994.343608	1357.332735	2030.118608	2001.055332	1384.316839	2062.472148	1589.680447	1526.769951	1692.441201	1696.323481	1487.070896	1586.516319	1477.291164	1416.005383	1387.605095	1271.49534	1470.293996	1881.790358	1307.360314	1658.742677	1644.761937	2085.586567	1345.463235
LINC01221	235.5301981	378.0767562	210.7042574	311.0937984	249.9183085	238.9824796	339.4010213	263.5979514	362.3633563	252.1223561	270.7963458	298.284835	301.8731162	222.6389405	337.7721156	247.1217956	247.4925957	208.4537659	252.4327493	200.1502329	201.5580868	236.159296	257.7788175	166.0817219	250.8497602	222.7169526	246.5216955	361.3529667	240.1272923
KLHDC8A	239.7996277	208.3487501	189.1724355	250.8502375	251.9419385	225.2907751	203.0604401	243.9264625	246.5838449	242.8336377	237.5017131	210.5540012	236.7903801	254.3415728	269.7402761	245.8799775	251.7232384	284.3344254	264.8678601	278.3698641	258.6467935	253.2722885	225.3177812	239.9740135	245.1300589	234.3514203	215.7064835	242.0172647	223.618541
MFSD4A	387.8065195	304.9006099	449.0922859	339.7341799	395.6196706	317.3986058	291.5367747	380.3154523	330.546086	301.2198675	335.165969	374.8499263	409.8827633	394.1213606	397.4491679	345.225423	388.1614642	452.6673828	410.3586566	412.9536413	394.9606441	480.0194387	519.3765804	381.4249716	394.6593947	407.2063685	345.3871671	360.2376797	339.1798004
